"id","lat","lng"
873895,37.085149,15.272999
873896,null,null
873897,52.5,13.416669
873898,50.734166,7.095277
873899,51.50853,-0.12574
873900,40.833329,14.25
873901,null,null
873902,41.894739,12.4839
873903,null,null
873904,51.1,17.033329
873905,null,null
873906,50.92878,11.5899
873907,43.766669,11.25
873908,48.137222,11.575277
873909,null,null
873910,45.43419,10.99779
873911,45.464269,9.18951
873912,45.648609,13.779999
873913,49.407679,8.690789
873914,51.5,12.0
873915,48.782222,9.176944
873916,49.496666,8.479444
873917,45.438609,12.32667
873918,43.1122,12.38878
873919,43.29695,5.38107
873920,48.853409,2.3488
873921,46.948055,7.447222
873922,38.244439,21.734439
873923,37.979449,23.716219
873924,null,null
873925,null,null
873926,50.980299,11.329029
873927,null,null
873928,null,null
873929,46.202222,6.145555
873930,48.208199,16.37169
873931,50.115277,8.684166
873932,null,null
873933,51.316666,9.5
873934,null,null
873935,null,null
873936,null,null
873937,null,null
873938,null,null
873939,null,null
873940,52.158329,4.493059
873941,54.09311,13.387859
873942,null,null
873943,55.675939,12.56553
873944,null,null
873945,52.370277,9.733055
873946,47.366666,8.55
873947,52.51113,13.30161
873948,45.070489,7.68682
873949,38.115819,13.359759
873950,51.05089,13.738319
873951,51.539329,9.93406
873952,48.52266,9.05222
873953,54.321111,10.134722
873954,51.339444,12.371111
873955,48.30639,14.28611
873956,null,null
873957,53.50303,10.480549
873958,50.808888,8.770555
873959,42.16993,13.8308
873960,53.811669,10.374169
873961,41.44749,12.627069
873962,null,null
873963,null,null
873964,49.004719,8.38583
873965,null,null
873966,44.647829,10.92539
873967,47.50277,8.306111
873968,47.15476,9.822549
873969,null,null
873970,46.668055,11.159444
873971,null,null
873972,46.490555,11.339722
873973,null,null
873974,47.2625,11.394444
873975,50.948055,10.701666
873976,49.984166,8.278888
873977,47.549999,7.58333
873978,42.093249,11.796739
873979,null,null
873980,45.41519,11.881809
873981,null,null
873982,50.850277,4.348611
873983,52.26594,10.52673
873984,48.371388,10.898333
873985,50.232709,12.871169
873986,null,null
873987,null,null
873988,48.583888,7.745277
873989,50.933333,6.95
873990,51.149722,11.809722
873991,53.123333,18.0075
873992,null,null
873993,51.574166,10.955555
873994,null,null
873995,52.27264,8.049799
873996,null,null
873997,null,null
873998,null,null
873999,null,null
874000,null,null
874001,52.398859,13.065659
874002,43.80485,11.294119
874003,null,null
874004,null,null
874005,50.978611,11.032777
874006,50.776388,6.083333
874007,42.25419,11.75657
874008,49.590989,11.00783
874009,42.464019,11.75115
874010,null,null
874011,null,null
874012,49.870559,8.64944
874013,51.219889,4.403459
874014,53.868929,10.68729
874015,54.70649,20.51095
874016,52.164419,10.54095
874017,47.995833,7.852222
874018,58.516669,31.283329
874019,52.965719,10.561109
874020,59.858499,17.64543
874021,52.736666,15.228611
874022,53.42631,11.84875
874023,52.1275,11.629166
874024,60.169519,24.935449
874025,null,null
874026,55.752222,37.615555
874027,53.997079,9.25891
874028,58.38062,26.72509
874029,51.788429,11.150059
874030,50.68457,7.153929
874031,54.521388,9.558333
874032,49.443129,1.09932
874033,50.583329,8.65
874034,53.583329,10.0
874035,54.352049,18.64637
874036,49.787779,9.936109
874037,null,null
874038,null,null
874039,53.82529,9.288029
874040,50.72043,11.34046
874041,51.221719,6.77616
