"origin_id","reception_id","letter_count"
873897,873896,1467
873902,873896,1298
873902,873897,565
873901,873896,537
873896,873896,514
873908,873896,155
873900,873896,90
873902,873920,73
873920,873896,69
873899,873896,64
873907,873896,63
873953,873896,63
873902,873918,61
873898,873896,58
873954,873896,53
873941,873896,52
873896,873902,52
873901,873902,51
873900,873902,49
873971,873896,47
873978,873902,40
873952,873896,39
873978,873896,35
873896,873897,32
873897,873902,31
873899,873902,29
873930,873896,25
873902,873902,25
873914,873896,22
873950,873896,21
873975,873896,20
873961,873896,20
873918,873896,19
873923,873896,19
873904,873896,19
873902,873898,18
873920,873902,18
873951,873896,17
873901,873897,17
873915,873902,14
873913,873896,14
873902,873907,13
873907,873902,13
873953,873954,12
873897,873942,11
873897,873897,11
873902,873900,11
873974,873896,11
873911,873896,11
873897,873920,11
873906,873896,10
873947,873896,10
873899,873897,10
873910,873896,10
873918,873902,10
873948,873896,10
873920,873897,9
873902,873904,9
873915,873896,9
873990,873896,9
873908,873902,9
873902,873925,8
873896,873979,8
873908,873897,8
873953,873898,8
873968,873896,8
873897,873904,7
873931,873896,7
873912,873896,7
873897,873953,7
873913,873897,7
873951,873897,7
873896,873920,7
873920,873908,6
873907,873897,6
873902,873941,6
873902,873908,6
873921,873896,6
874008,873896,5
873975,873902,5
873950,873902,5
873895,873896,5
873990,873897,5
873902,873909,5
874015,873896,5
873933,873896,5
873975,873897,5
873902,873911,5
873950,873897,5
873966,873897,4
873940,873896,4
873902,873928,4
873945,873896,4
873902,873910,4
873926,873896,4
873902,873934,4
874013,873896,4
873900,873954,4
873969,873896,4
873906,873941,4
873896,873904,4
873902,873975,4
873949,873896,4
874009,873896,4
873987,873896,4
873946,873896,4
873948,873897,4
873902,873899,4
873973,873896,4
873943,873896,4
873897,873898,4
873896,873908,3
873989,873896,3
873900,873897,3
873917,873902,3
874002,873896,3
873958,873896,3
873917,873896,3
873898,873902,3
873972,873896,3
873977,873896,3
873896,873898,3
873902,873981,3
874007,873896,3
873921,873897,3
873911,873902,3
873896,873942,3
873998,873896,3
873946,873902,3
873976,873902,3
873953,873897,3
874014,873896,3
873908,873898,3
873898,873897,2
873898,873942,2
873914,873897,2
873954,873898,2
873953,873941,2
873950,873908,2
873901,873920,2
873897,873954,2
873964,873896,2
873911,873897,2
873920,873953,2
873977,873902,2
873898,873920,2
873902,873933,2
873902,873936,2
873902,873954,2
873976,873897,2
873898,873928,2
873902,873912,2
873996,873896,2
873943,873897,2
873899,873954,2
873896,873975,2
874012,873896,2
874001,873896,2
874034,873896,2
873908,873926,2
873898,873898,2
873940,873897,2
873938,873896,2
873916,873896,2
873897,873941,2
873896,873912,2
873943,873953,2
873924,873896,2
873953,874038,2
873926,873897,2
874036,873896,2
873902,873962,2
873902,873944,2
873910,873902,2
873901,873903,2
873902,873953,2
874006,873896,2
874028,873896,2
874017,873896,2
873995,873896,2
873908,873904,2
873901,873942,2
873920,873900,2
873899,873899,2
873992,873896,2
873970,873896,2
873952,873898,2
874030,873896,1
874019,873896,1
873977,873897,1
873989,873902,1
874005,873953,1
873908,873928,1
873896,873941,1
874041,873896,1
873902,873997,1
873902,873979,1
873906,873954,1
873929,873896,1
873900,874023,1
873904,873920,1
873959,873902,1
873956,873896,1
873896,873944,1
873948,873902,1
874026,873897,1
873904,873902,1
873967,873896,1
873958,873897,1
874016,873896,1
874027,873896,1
873913,873931,1
873920,873920,1
873910,873925,1
873902,874003,1
873964,873902,1
874015,873954,1
873986,873896,1
874032,873896,1
873897,873999,1
873910,873928,1
873907,874003,1
873898,873953,1
873896,873907,1
874035,873896,1
873896,873925,1
873980,873896,1
873991,873896,1
873951,873898,1
873917,873920,1
873907,873898,1
873896,874000,1
873899,873907,1
874009,873897,1
873896,873937,1
873907,873910,1
874029,873896,1
874040,873896,1
874018,873896,1
873899,873898,1
873908,873942,1
873915,873907,1
873907,873904,1
873896,873913,1
873946,873897,1
873988,873896,1
874021,873896,1
873933,873941,1
873948,873898,1
873966,873896,1
873897,873900,1
873915,873898,1
873943,873954,1
873906,873902,1
873914,873941,1
873901,873904,1
873901,873994,1
873902,873963,1
873984,873897,1
873985,873902,1
873963,873902,1
874008,873898,1
874028,873897,1
873940,873954,1
874012,873902,1
873966,873902,1
873902,873939,1
873954,873897,1
873949,873953,1
873900,873920,1
873901,873898,1
873901,873979,1
873951,873954,1
873985,873896,1
873941,873953,1
873930,873908,1
873982,873902,1
873922,873896,1
873902,873915,1
873949,873902,1
873912,873910,1
873902,873906,1
874023,873896,1
874039,873941,1
873919,873920,1
873918,873897,1
873931,873898,1
873896,873933,1
873960,873896,1
873993,873896,1
874028,873953,1
873976,873896,1
874031,873896,1
873902,874010,1
873897,873905,1
873902,873965,1
873896,873918,1
873896,873900,1
874020,873896,1
873906,873904,1
874001,873902,1
873967,873897,1
873957,873896,1
873904,873897,1
873901,873927,1
873915,873897,1
874025,873896,1
873902,874004,1
873955,873931,1
873931,873897,1
873951,873905,1
874033,873902,1
873915,873900,1
873902,873935,1
873902,873917,1
873923,873897,1
873984,873908,1
874002,873897,1
874024,873897,1
873899,873932,1
874011,873896,1
874022,873896,1
873960,873898,1
873913,873902,1
873951,873902,1
873917,873897,1
873930,873898,1
873907,873911,1
873953,874037,1
873963,873898,1
873941,873898,1
873983,873897,1
873901,873900,1
