name,lat,lng,letter_count
Rom,41.894739,12.4839,2152
Berlin,52.5,13.416669,1556
München,48.137222,11.575277,181
Neapel,40.833329,14.25,148
London,51.50853,-0.12574,110
Paris,48.853409,2.3488,107
Kiel,54.321111,10.134722,91
Florenz,43.766669,11.25,87
Civitavecchia,42.093249,11.796739,75
Bonn,50.734166,7.095277,72
Leipzig,51.339444,12.371111,56
Greifswald,54.09311,13.387859,54
Tübingen,48.52266,9.05222,41
Dresden,51.05089,13.738319,33
Perugia,43.1122,12.38878,30
Gotha,50.948055,10.701666,30
Göttingen,51.539329,9.93406,28
Wien,48.208199,16.37169,27
Stuttgart,48.782222,9.176944,27
Halle (Saale),51.5,12.0,25
Heidelberg,49.407679,8.690789,23
Breslau,51.1,17.033329,22
Athen,37.979449,23.716219,20
Anzio,41.44749,12.627069,20
Jena,50.92878,11.5899,17
Turin,45.070489,7.68682,16
Mailand,45.464269,9.18951,16
Naumburg (Saale),51.149722,11.809722,14
Verona,45.43419,10.99779,14
Innsbruck,47.2625,11.394444,11
Charlottenburg <Berlin>,52.51113,13.30161,10
Bern,46.948055,7.447222,9
Kopenhagen,55.675939,12.56553,9
Frankfurt am Main,50.115277,8.684166,9
Venedig,45.438609,12.32667,8
Zürich,47.366666,8.55,8
Triest,45.648609,13.779999,8
Bludenz,47.15476,9.822549,8
Leiden,52.158329,4.493059,7
Weimar,50.980299,11.329029,6
Erlangen,49.590989,11.00783,6
Kassel,51.316666,9.5,6
Mainz,49.984166,8.278888,6
Modena,44.647829,10.92539,6
Königsberg,54.70649,20.51095,6
Basel,47.549999,7.58333,6
Palermo,38.115819,13.359759,6
Canino,42.464019,11.75115,5
Syrakus,37.085149,15.272999,5
Antwerpen,51.219889,4.403459,4
Tartu,58.38062,26.72509,4
Hannover,52.370277,9.733055,4
Fiesole,43.80485,11.294119,4
Köln,50.933333,6.95,4
Marburg,50.808888,8.770555,4
Karlsruhe,49.004719,8.38583,3
Lübeck,53.868929,10.68729,3
Bozen,46.490555,11.339722,3
Tarquinia,42.25419,11.75657,3
Darmstadt,49.870559,8.64944,3
Potsdam,52.398859,13.065659,3
Aachen,50.776388,6.083333,2
Freiburg im Breisgau,47.995833,7.852222,2
Bad Oldesloe,53.811669,10.374169,2
Osnabrück,52.27264,8.049799,2
Karlsbad,50.232709,12.871169,2
Augsburg,48.371388,10.898333,2
Luzern,47.50277,8.306111,2
Hamburg,53.583329,10.0,2
Meran,46.668055,11.159444,2
Mannheim,49.496666,8.479444,2
Bremen,53.083329,8.83333,2
Würzburg,49.787779,9.936109,2
Danzig,54.352049,18.64637,1
Brüssel,50.850277,4.348611,1
Moskau,55.752222,37.615555,1
Bromberg,53.123333,18.0075,1
Rudolstadt,50.72043,11.34046,1
Quedlinburg,51.788429,11.150059,1
Uppsala,59.858499,17.64543,1
Marseille,43.29695,5.38107,1
Magdeburg,52.1275,11.629166,1
Rouen,49.443129,1.09932,1
Stolberg/Harz,51.574166,10.955555,1
Schleswig <Stadt>,54.521388,9.558333,1
Parchim,53.42631,11.84875,1
Popoli,42.16993,13.8308,1
Erfurt,50.978611,11.032777,1
Wolfenbüttel,52.164419,10.54095,1
Padua,45.41519,11.881809,1
Uelzen,52.965719,10.561109,1
Genf,46.202222,6.145555,1
"Freiburg, Elbe",53.82529,9.288029,1
Burg auf Fehmarn,53.997079,9.25891,1
Braunschweig,52.26594,10.52673,1
Nowgorod,58.516669,31.283329,1
Bad Godesberg,50.68457,7.153929,1
Landsberg (Warthe),52.736666,15.228611,1
Linz,48.30639,14.28611,1
Düsseldorf,51.221719,6.77616,1
Helsinki,60.169519,24.935449,1
Gießen,50.583329,8.65,1
Patras,38.244439,21.734439,1
Schwarzenbek,53.50303,10.480549,1
Straßburg,48.583888,7.745277,1
